gene,median_log2,mad_log2
ENSG00000160183,0.0156274460666958,0.0156274460666958
ENSG00000160185,0.0067935005144655,0.0067935005144655
ENSG00000160188,0.2977818760695234,0.1980988627891202
ENSG00000160190,1.8276361361893856,0.7207049596661974
ENSG00000160191,0.0114426817979244,0.0114426817979244
ENSG00000160193,1.8864682069423528,0.528765846145888
ENSG00000160194,3.059445270181613,0.4951158833386757
ENSG00000160199,1.463036471855661,0.3292888399900613
ENSG00000160200,3.0771506908464974,1.1236135168731751
ENSG00000160201,3.987430019053971,0.7761265115990139
ENSG00000160202,0.0971549947961551,0.0971549947961551
ENSG00000160207,0.083461201117698,0.047766917735545
ENSG00000160208,2.3302658159026404,0.4736348720891228
ENSG00000160209,4.780850745868845,0.3982621548097178
ENSG00000160211,2.7129544838162927,0.5232503322074407
ENSG00000160213,3.1228929987233336,0.51411213721302
ENSG00000160214,3.028609815822152,0.4723054843279928
ENSG00000160216,2.9703014970175903,0.5413471149722175
ENSG00000160218,3.241497007039205,0.4515215212484245
ENSG00000160219,1.0799822011843077,0.3270060908506103
ENSG00000160221,2.373907079837878,0.7881080585605238
ENSG00000160223,1.1539544608926742,0.5168768128056467
ENSG00000160224,0.0049773581320219,0.0049773581320219
ENSG00000160226,3.6468884313400514,0.4179881827898781
ENSG00000160229,0.3696619008029555,0.2216460245944163
ENSG00000160233,0.3429039992385692,0.1896045055963753
ENSG00000160255,0.8322168019146795,0.5280294694294524
ENSG00000160256,2.312453167768568,0.4834592056518576
ENSG00000160271,3.562022568225388,0.4702105453181686
ENSG00000160282,0.1360194078384011,0.1025858339180156
ENSG00000160307,0.0156517074454932,0.0156517074454932
ENSG00000160310,2.745525627163836,0.4938632485855416
ENSG00000160318,0.6118380856810827,0.3162937195725082
ENSG00000160321,0.0096452840982405,0.0096452840982405
ENSG00000160323,0.7870880489263229,0.3207438840708999
ENSG00000160325,2.370108469207648,0.3851254617184754
ENSG00000160326,1.5307449746467476,0.4371982738796429
ENSG00000160336,1.7044780460857871,0.3967347853999696
ENSG00000160339,0.0,0.0
ENSG00000160345,1.2848102225302285,0.4957888268594689
ENSG00000160349,0.0,0.0
ENSG00000160352,0.4860789840050955,0.2532576055918178
ENSG00000160360,0.0284291191175575,0.0224701279859088
ENSG00000160392,1.8037891232719987,0.3108592166043107
ENSG00000160396,0.0295772720117667,0.0167070254934686
ENSG00000160401,0.1870468527617665,0.079964305926213
ENSG00000160404,3.2356673291890665,0.449723436834788
ENSG00000160408,3.137437945212189,0.5162956764518389
ENSG00000160410,4.112583378137422,0.4740345147785971
ENSG00000160439,2.276407331912293,0.7135708836053132
ENSG00000160445,2.875009371617532,0.394314080521549
ENSG00000160446,3.621829173194684,0.5171408913459086
ENSG00000160447,0.3059273415988771,0.1673422021234908
ENSG00000160460,0.1997068905897226,0.1507565105053026
ENSG00000160469,2.139832906253192,0.7415204332040042
ENSG00000160471,0.0670012021812289,0.0460659639105701
ENSG00000160472,0.0400535655393182,0.0400535655393182
ENSG00000160505,0.0,0.0
